Trail Name,compound,RF_Sentiment
Boucher Trail,0.6873400000000001,0
Bouchoux Trail - Jensen's Ledges,0.66205,0
Boulder Ale Trail,0.9006000000000001,1
Boulder Loop Trail,0.7863,1
Bowman Lake,0.7256,0
Boy Scout Trail,0.86876,1
Boynton Canyon Trail,0.88407,1
Brad Garrett's Comedy Club,0.5184599999999999,0
Bradley Lake Park,0.8561,1
Brandywine Falls,0.77647,1
Brasstown Bald Mountain,0.7084400000000001,0
Breakneck Ridge Loop,0.39204,0
Bridal Veil Falls,0.78735,1
Bridalveil Falls,0.53904,0
Bridger Teton National Forest,0.69445,0
Bridle Trails State Park,0.53969,0
Bright Angel Trail,0.75814,1
Brink of the Lower Falls Trail,0.74281,0
Bristlecone Loop,0.68532,0
Bristlecone Trails,0.91712,1
Broken Arch,0.35867,0
Broken Boot Gold Mine,0.6008600000000001,0
Brooks Falls,0.8502000000000001,1
Brown's Creek Trail,0.7694,1
Bryce Canyon National Park,0.61418,0
Bryce Canyon Scenic Drive,0.5477700000000001,0
Bryce Point,0.66308,0
Bubble Pond,0.7429333333333333,0
Buck Canyon Overlook,0.47351666666666664,0
Buck mountain hiking trail,0.73449,0
Buckhorn Trail,0.6929666666666666,0
Buena Vista Peak Trail,0.79937,1
Buffalo National River Park,0.6827799999999999,0
Bumpass Hell,0.6981200000000001,0
Bunsen Peak,0.88527,1
Burro Trail,0.66466,0
Burroughs Mountain Trail,0.73019,0
Butler's Trail,0.1419,0
Byron Glacier Trail,0.79452,1
Byron Ledge,0.1657,0
Cache La Poudre River,0.84672,1
Cactus Forest Drive,0.82107,1
Cactus Forest Trail,0.8603428571428572,1
Cactus Garden Trail,0.7994444444444445,1
Cades Cove,0.61778,0
Cadillac Mountain,0.94819,1
Cadillac Mountain North Ridge Trail,0.72588,0
Cadillac South Ridge Trail,0.8589499999999999,1
Cadillac West Face Trail,0.8965666666666667,1
Calaveras Big Trees State Park,0.8638,1
Calcite Springs Overlook,0.5602400000000001,0
Caldwell Fork Trail,0.6213,0
California Coastal Trail,0.57999,0
California Riding and Hiking Trail,0.6921333333333334,0
Calleguas Creek Bike Path,0.79606,1
Cameron Park Zoo,0.8481500000000001,1
Camp Creek Golf Club,0.82388,1
Camp Rapidan,0.9226700000000001,1
Cane Creek Trail,-0.2707,0
Cane River National Heritage Trail,0.68893,0
Canty Trail to Blue Ridge Mountain,0.9942,1
Canyon Falls Trail,0.7039500000000001,0
Canyon Lake,0.57388,0
Canyon Overlook Trail,0.72637,0
Canyon Rim Visitor Center,0.8085699999999999,1
Canyon Road,0.77091,1
Canyon Trail Rides,0.9453900000000001,1
Canyon de Chelly National Monument,0.7367900000000001,0
Cap Rock Nature Trail,0.5930500000000001,0
Cape Fear River Trail,0.53463,0
Cape Final Trail,0.71547,0
Cape Royal Trail,0.89664,1
Capitol Complex Visitors Center,0.84059,1
Capitol Gorge Trail,0.88199,1
Caprock-Coulee Trail,0.7478,0
Carey's Castle,0.3262,0
Carlsbad Caverns National Park Visitor Center,0.77977,1
Carriage Roads,0.81631,1
Carter Mountain Orchard,0.42751,0
Carver's Gap,0.83255,1
Cascade Canyon Trail,0.90099,1
Cascade Creek Trail,0.72401,0
Cascade Falls,0.8860100000000001,1
Cascade Falls Trail,0.68284,0
Cascade Loop,0.9474899999999999,1
Cascadilla Gorge Trail,0.44373000000000007,0
Cassidy Arch,0.70501,0
Castle Crest Wildflower Trail,0.78923,1
Castle Rock Trail,0.8544599999999999,1
Castle Trail,0.7500899999999999,1
Cataloochee Ski Area,0.42433999999999994,0
Cataloochee Valley,0.50681,0
Cataract Falls,0.6339699999999999,0
Cathedral Lake Trail,0.89678,1
Cathedral Valley Loop,0.78495,1
Cathedral Wash Trail,0.68855,0
Catherine Rooney's,0.75786,1
Catlett Mountain Circuit,0.6652,0
Cattail Falls Trail,0.7381599999999999,0
Cave Loop Trail,0.74047,0
Cedar Run Trail,0.86606,1
Cedar Sink Trail,0.72283,0
Centennial Trail,0.594445,0
Chain of Craters Road,0.49757999999999997,0
Chain of Lakes,0.8407500000000001,1
Chambers Bay Loop,0.91767,1
Champlain Mountain & Beehive Loop Trail,0.89071,1
Chaos Crags and Jumbles,0.35803,0
Chapin Pass,0.73305,0
Charlies Bunion,0.83123,1
Chasm Lake,0.75141,1
Chasm View Nature Trail,0.9515,1
Chattooga River Loop Trail,0.8166666666666668,1
Cheat Lake Trail,0.8921699999999999,1
Chesler Park Loop Trail,0.85191,1
Chestnut Trail Vineyard,0.50096,0
Chief Ladiga Trail,0.59467,0
Chilnualna Falls,0.83539,1
Chimney Rock at Chimney Rock State Park,0.75991,1
Chimney Tops Trail,0.86412,1
Chinle Trail,0.67114,0
Chocolate Garden,0.29065,0
Cholla Cactus Garden,0.7226100000000001,0
Cholla Trail,0.76018,1
Christ of the Ozarks,0.8643000000000001,1
Cinder Cone,0.86025,1
Cirque Rim Trail,0.7955166666666668,1
City Creek Canyon,0.5417,0
Clark's Dismal Nitch,0.38466,0
Clayton County International Park,0.7073400000000001,0
Clear Creek Trail,0.6388,0
Clear Lake Artist's Point Loop Trail,0.9015666666666666,1
Cleetwood Cove Trail,0.72618,0
Cliff Lake,0.8924000000000001,1
Cliff Palace,0.37658,0
Cliff Shelf Nature Trail,0.65239,0
Cliff Trail,0.92217,1
Clingmans Dome,0.7694599999999999,1
Closed Canyon,0.5659799999999999,0
Cloud's Rest,0.6530400000000001,0
Coal Creek Trail,0.65325,0
Coastal Prairie Trail,0.5125000000000001,0
Cohab Canyon Trail,0.65319,0
Cold Boiling Lake,0.23325,0
Cold Brook Canyon Trail,0.8765,1
Colonial Creek Campground - Stehekin Valley Trail,0.8893700000000001,1
Colorado Chautauqua: Park,0.74151,0
Columbine Lake Trail,0.8720700000000001,1
Comet Falls,0.8032299999999999,1
Compass Harbor Trail,0.73876,0
Confluence Overlook Trail,0.64254,0
Congaree National Park,0.63007,0
Congress Trail,0.75544,1
Continental Divide Trail,0.79982,1
Convict Lake,0.74997,0
Cooks Meadow Loop,0.8443200000000001,1
Copeland Falls,0.6025,0
Copper Creek Trail,0.7830142857142857,1
Cosby Picnic Area,0.62412,0
Cottonwood & Marble Canyon Loop,0.6900666666666666,0
Cottonwood Creek Park,0.7071142857142857,0
Cottonwood Lake,0.82516,1
Cottonwood Pass,0.68413,0
Court of the Patriarchs,0.46647,0
Courthouse Butte Loop Trail,0.7721,1
Cove Hardwoods Nature Trail,0.8886,1
Covington Trailhead Museum,0.7669333333333334,1
Coyote Gulch,0.77627,1
Coyote Valley Trail,0.80282,1
Cracker Lake Hike,0.90282,1
Crater Lake National Park,0.8683500000000001,1
Crater Lake Trail,0.85665,1
Crater Peak Trail,0.8136,1
Crater Rim Drive,0.64901,0
Craven Gap Trail,0.57219,0
Creole Nature Trail,0.69517,0
Crescent Meadow Loop,0.78715,1
Crevasse Moraine Trail System,0.75588,1
Crib Gap Trail,0.8858,1
Crooked Arm Ridge Trail,0.9873,1
Cross Island Trail,0.7302333333333334,0
Crystal Cave,0.63549,0
Crystal Forest Trail,0.4102,0
Crystal Lake,0.68177,0
Crystal Lake trail,0.74867,0
Cub Lake Trail,0.5482,0
Cucumber Gap Trail,0.7755142857142857,1
Cumberland Caverns,0.9257099999999999,1
Cumberland Falls State Resort Park,0.69931,0
Cunningham Cabin,0.3879,0
Curry Mountain Trail,0.9785,1
Cuyahoga Valley National Park,0.8246,1
D R Bradley Bike Rentals,0.8484700000000001,1
Dagger Flat Auto Trail,0.56633,0
Daly Creek Trail,0.8397,1
Dante's View,0.75166,1
Dark Angel,0.45535000000000003,0
Dark Hollow Falls,0.31958000000000003,0
Darwin Falls,0.56145,0
Dawson Pass and Pitamakan Pass Loop,0.92082,1
Dead Horse Ranch State Park,0.62155,0
Dead Lakes Recreational Area,0.546,0
Deadman's Cove,0.66834,0
Death Canyon,0.7939700000000001,1
Deep Creek,0.7885099999999999,1
Deep Creek Winery,0.85822,1
Deer Creek Canyon Park,0.81792,1
Deer Creek Trail,0.91382,1
Deer Creek Tribute Trail,0.8379099999999999,1
Deer Mountain,0.90994,1
Deer Mountain Trail,0.69863,0
Deer Park Road,0.48952999999999997,0
Delta Lake Trail,0.51395,0
Denali National Park,0.50122,0
Desert Discovery Nature Trail,0.671075,0
Desert Queen Mine,0.06487777777777778,0
Desert View Trail,0.19809999999999997,0
Devastation Trail,0.35239,0
Devil Bathtub South Dakota,0.83985,1
Devil's Bridge Trail,0.71083,0
Devil's Den State Park,0.82671,1
Devil's Den Trail,0.9356,1
Devil's Golf Course,0.48459,0
Devil's Hall Trail,0.9281499999999999,1
Devil's Head Resort,0.34085,0
Devil's Kitchen,0.81554,1
Devil's Lake State Park,0.73095,0
Devil's Playground,0.63097,0
Devil's Slide Trail,0.8684100000000001,1
Devils Garden Trailhead,0.8257300000000001,1
Diablo Lake Overlook,0.61369,0
Diamond Point Quartz Crystals,0.64207,0
Dickey Ridge Trail,0.51895,0
Discovery Trail,0.7071,0
Disney's Winter Summerland Miniature Golf Course,0.62989,0
Dixie Mine Trail,0.8072100000000001,1
Dodge Ridge,0.56791,0
Doe Mountain Trail,0.83528,1
Dog Canyon Trail,0.4554875,0
Dog Lake Trail,0.9931,1
Dogwood Pass,0.8504099999999999,1
Doll's Head Trail,0.70101,0
Door Trail,0.89253,1
Dorr Mountain,0.5072,0
Double O Arch,0.74519,0
Douglas Dam,0.72893,0
Douglas Spring Trail,0.7919700000000001,1
Doyles River Falls,0.52331,0
Dragon's Teeth,0.73815,0
Drift Creek Falls Trail,0.8730100000000001,1
Dripping Springs Natural Area,0.50509,0
Druid Arch Trail,0.9972,1
Duck Brook Bridge,0.7847666666666666,1
Duck Harbor Mountain,0.88911,1
Dukes Creek Falls Trail,0.87639,1
Dukes Creek Gold & Ruby Mines,0.80083,1
Dune Ridge Trail,0.4326,0
Dune Succession Trail,0.8718333333333333,1
Eagle Cliff Mountain,0.9858,1
Eagle Creek Trail,0.67447,0
Eagle Falls Trail,0.76643,1
Eagle Lake Acadia National Park,0.6802900000000001,0
Eagle and High Peak Mine,0.7636000000000001,1
Eagle's Cliff Falls,0.8407,1
East Bay Bike Path,0.74806,0
East Inlet Trail,0.9359999999999999,1
East Jesus,0.40917000000000003,0
East Palisades Trail,0.6824199999999999,0
East Portal Road,0.7064199999999999,0
East Rim Drive,0.76242,1
East Rim Trail,0.8922800000000001,1
East Temple,0.5569666666666667,0
Echo Canyon Trail and Recreation Area,0.82469,1
Echo Lake Trail,0.76926,1
Echo River,0.67571,0
Eco Pond,0.23609999999999998,0
Ecological Sanctuary,0.91747,1
Edgewood Park Natural Preserve,0.73476,0
Edmonds Marsh,0.75256,1
Edsel & Eleanor Ford House,0.88788,1
El Calderon Trail,0.80274,1
El Capitan,0.8332599999999999,1
El Paso Mission Trail,0.8953300000000001,1
Eldorado Canyon,0.77374,1
Elephant Butte Lake State Park,0.44939999999999997,0
Elephant Hill,0.88239,1
Elephant Trees Trail,0.73876,0
Elizabeth Lake,0.86301,1
Elk Lake,0.74642,0
Elk Mountain Nature Trail,0.9188666666666667,1
Elkwallow Wayside,0.7245999999999999,0
Elwha River Casino,0.51957,0
Emerald Lake Trail,0.8417600000000001,1
Emerald Pools,0.67831,0
Emmenegger Nature Park,0.86524,1
Emory Peak,0.9274000000000001,1
Ernst Trail,0.72676,0
Estes Cone Hike,0.85588,1
Eugene O'Neill Theatre,0.52309,0
Eureka Dunes,0.62194,0
Eureka Peak,0.60039,0
Exit Glacier,0.66261,0
Eye of the Whale Arch,0.744075,0
Fairy Falls,0.77112,1
Fakahatchee Strand Preserve State Park,0.37601,0
Fall Creek Falls,0.8826,1
Falls Branch Falls,0.88034,1
Falls Creek Trail to Green Lake,0.77527,1
False Kiva,0.5042,0
False Klamath,0.781175,1
Far View Sites,0.63949,0
Farming Terraces,0.82545,1
Farmington River Trail,0.7332799999999999,0
Father Crowley Vista Point,0.37293,0
Fatman's Loop Trail,0.7543599999999999,1
Fawn Creek Winery,0.8914500000000001,1
Fern Lake,0.8741199999999999,1
Fern Lake Trail,0.9309857142857142,1
Fiery Furnace,0.42833000000000004,0
Fighting Creek Trail,0.82806,1
Firehole Lake Drive,0.80999,1
Firehole River,0.8432299999999999,1
Flamingo,0.5979300000000001,0
Flattop Mountain Trail,0.7476700000000001,0
Flint River Trail,0.4404,0
Flying Mountain Hiking Trail,0.9108700000000001,1
Forest Canyon Overlook,0.81084,1
Forney Ridge Trail,0.9004666666666666,1
Fort Blair,0.41536,0
Fort Bragg Coastal Trail,0.6298199999999999,0
Fort Hunt Park,0.57677,0
Fort Jefferson,0.92343,1
Fort Morgan Road Trail,0.8297800000000001,1
Fort Robinson State Park,0.22887,0
Fossil Exhibit Trail,0.62292,0
Fountain Hills Lake Overlook Trail,0.6407700000000001,0
Fountain Paint Pot,0.63655,0
Four Mile Trail,0.6321,0
Fox Hollow Golf Club,0.76422,1
Franklin Hill Vineyards,0.70728,0
Fred C. Babcock-Cecil M. Webb Wildlife Management Area,0.6912900000000001,0
Freedom Trail,0.83924,1
Freeman Homestead Trail,0.7588,1
Fremont River Trail,0.69468,0
French Trail Connector,0.4588,0
Friends of the Elephant Seal Visitor Center and Gift Shop,0.8734,1
Fruita,0.63425,0
Furnace Run Metro Park,0.67194,0
GSMNP - Deep Creek Trail,0.7929700000000001,1
Garden Wall,0.70376,0
Gateway Trail,0.6962900000000001,0
Gatlinburg Trail,0.65716,0
Gem Lake,0.91084,1
General Grant Tree Trail,0.8069900000000001,1
General Sherman Tree,0.53259,0
Generals Highway,0.59677,0
Geology Tour Road,0.72914,0
Geyser Spring Trail,0.80635,1
Giant Ledge and Panther Mountain,0.6554800000000001,0
Giant Logs Loop,0.48344,0
Gibbon Falls,0.25759,0
Gilbert Stuart Museum,0.84622,1
Glacier National Park,0.58319,0
Glacier Point,0.8281499999999999,1
Glade Creek Trail,0.8821,1
Glade Top Trail,0.31096666666666667,0
Glen Alpine Trail,0.743975,0
Glen Onoko Falls Trail,0.28988,0
Goat Haunt,0.6894,0
Goat Rock Beaches,0.8448,1
Going-to-the-Sun Road,0.73956,0
Gold Branch Trail,0.47933333333333333,0
Gold Canyon Resort - Sidewinder Golf Course,0.72007,0
Gold Hill to Peaks Trail,0.58415,0
Gold Mine Trail,0.9390499999999999,1
Golden Canyon,0.65592,0
Golden Gate Loop Trail,0.3111,0
Golden Trout Lake Loop,0.7701,1
Golden Trout Lakes Trail,0.73375,0
Goldmine Loop Trail,0.5491,0
Gooseberry Badlands Scenic Overlook & Trail,0.6649700000000001,0
Goosenecks Overlook,0.66708,0
Gorge Creek Falls,0.69228,0
Gorham Mountain Trail,0.71174,0
Gorman Falls,0.8167500000000001,1
Goshen Prong Trail,0.624,0
Gower Gulch Loop,0.75072,1
Granary Burying Ground,0.6083299999999999,0
Grand 1894 Opera House,0.83593,1
Grand Canyon North Rim,0.83622,1
Grand Canyon South Rim,0.8593299999999999,1
Grand Canyon of the Yellowstone,0.65742,0
Grand Loop Road,0.77082,1
Grand Promenade,0.7467499999999999,0
Grand Staircase Escalante National Monument,0.61713,0
Grand Teton,0.77767,1
Grand Wash Trail,0.65761,0
Grandstaff Canyon Trail,0.75979,1
Grandview Point,0.76871,1
Grandview Trail,0.79534,1
Granite Chief,0.6309555555555556,0
Granite Mountain Trail 261,0.85067,1
Granite Park Trail,0.7476,0
Great Falls Park,0.86561,1
Great Gallery,0.84561,1
Great Head Trail,0.90528,1
Great Marsh Trail,0.7748200000000001,1
Great Valley Farm Brewery,0.9094300000000001,1
Green River Overlook,0.8473700000000001,1
Greenbrier River Trail,0.8908699999999999,1
Greenstone Ridge Trail,0.8134599999999998,1
Greenway Walking Trails,0.68531,0
Gregory Bald via Gregory ridge,0.8793625,1
Grinnell Glacier,0.8298099999999999,1
Grinnell Lake Trail,0.86029,1
Grizzly Falls,0.41628,0
Grizzly Giant Loop Trail,0.61202,0
Grizzly Lake Trail,0.9180444444444444,1
Grotto Falls Trail,0.72661,0
Grotto Trail,0.50638,0
Grove of the Patriarchs,0.8128500000000001,1
Guadalupe Peak,0.79256,1
Gumbo Limbo Trail,0.36932,0
HRLPC:  Laurel Marsh Trail,0.651725,0
Ha Ha Tonka State Park,0.84763,1
Haleakala Crater,0.74875,0
Halemaumau Trail,0.6214857142857143,0
Halemauu Trail,0.66205,0
Half Dome,0.65328,0
Hallett Peak,0.77385,1
Hamilton Mountain Loop Trail,0.85843,1
Hamilton Pool Preserve,0.79667,1
Hanging Lake Trail,0.84033,1
Hangover Trail via Munds Wagon Trail and Cow Pies,0.8116199999999999,1
Hannegan Pass-Ross Lake,0.9493499999999999,1
Hans Christian Andersen Park,0.8412,1
Harding Ice Field Trail,0.84451,1
Harmony Borax Works,0.32654,0
Harrison Lake State Park,0.7422,0
Hatfield McCoy Trail - Buffalo Mountain Trail System,0.65679,0
Hawksbill Mountain,0.72303,0
Hayden Butte Preserve,0.70709,0
Hayden Valley,0.65049,0
Hazel Creek,0.9257666666666666,1
Heart Lake Trail,0.73376,0
Heart Lake to South Entrance Trail via Thorofare Trail,0.9832,1
Heart Rock / Seeley Creek Trail 4W07,0.92143,1
Heart of Acadia Loop,0.69226,0
Heather Lake Trail,0.88666,1
Hellroaring Creek Trailhead,0.88505,1
Hemlock Falls Trail,0.75019,1
Hemphill Bald Trail,0.7349,0
Hen Wallow Water Falls,0.79137,1
Herman Gulch Trail,0.70823,0
Hermit Gulch Trail Loop,0.6929000000000001,0
Hermit Trail,0.70494,0
Herring Cove Trail,0.8390000000000001,1
Hetch Hetchy Reservoir,0.55338,0
Hialeah Racetrack,0.84771,1
Hidden Canyon Trail,0.4665,0
Hidden Lake,0.75386,1
Hidden Lake Peak Trail,0.8271200000000001,1
Hidden Valley,0.85538,1
Hidden Valley Trail,0.7414499999999999,0
Hieroglyphic Mountains OHV Loop,0.4753,0
High Bluff Overlook,0.62987,0
High Divide,0.8232999999999999,1
High Dune Trail,0.9183,1
High Sierra Trail,0.97835,1
Highline Trail,0.59119,0
Highway 12 Scenic Byway,0.82256,1
Hiking Devastated Area Interpretive Trail,0.6519999999999999,0
Hill Country State Natural Area,0.89029,1
Hirschman's Pond Trail,0.85207,1
Historic Brushy Mountain State Penitentiary,0.5890299999999999,0
Historic Columbia River Highway State Trail,0.8730600000000001,1
Historic Railroad Trail,0.86784,1
Hither Hills State Park,0.8262700000000001,1
Hoh Rain Forest,0.53701,0
Hoh River Trail,0.90912,1
Hohokam Road,0.81343,1
Hollow Brook Trail,0.8804000000000001,1
Holly Lake,0.9863999999999999,1
Holmes County Trail,0.83664,1
Holzwarth Historical Site,0.85755,1
Homer Wilson Ranch,0.69191,0
Hoop Pole Creek Nature Trail,0.65291,0
Horseshoe Canyon,0.7123,0
Horseshoe Lake Trail,0.82523,1
Horseshoe Loop Trail,0.9627,1
Horseshoe Meadow Trail,0.7708555555555555,1
Horsetooth Mountain Open Space,0.5968600000000001,0
Hospital Rock,0.3708,0
Howard Prairie Lake,0.7605000000000001,1
Howe Farm Historic Park and Off Leash Dog Park,0.83158,1
Huckleberry Trail,0.8056545454545454,1
Hugh Norris Trail,0.7383333333333333,0
Hunter Canyon Trail,0.65135,0
Hunter Creek Trail,0.86434,1
Hunter Mountain,0.4858571428571428,0
Huron Sunrise Trail,0.5469999999999999,0
Hurricane Hill Farm,0.9237375,1
Hurricane Ridge,0.80785,1
Huskey Branch Falls,0.6625,0
Huskey Gap Trail,0.7395,0
Iceberg Lake Trail,0.7663800000000001,1
Icicle Ridge Trail,0.77975,1
Indian Canyons Hiking Trails,0.60957,0
Indian Head Trail,0.51328,0
Indian Mound Trail,0.40797,0
Indian creek Trail,0.5447666666666667,0
Indiana Uplands Wine Trail,0.94635,1
Inspiration Point,0.7211350000000001,0
Iron Creek Trail to Goat Falls And Goat Lake,0.543425,0
Iron Goat Trail,0.86862,1
Iron Mountain Hot Springs,0.64066,0
Jackson Glacier Overlook,0.42679,0
James Madison's Montpelier,0.65118,0
James Monroe's Highland,0.7535000000000001,1
Jardine Juniper Trail,0.82316,1
Jasper Forest,0.17509999999999998,0
Jenny Lake,0.92355,1
Jenny Lake Trail,0.8604099999999999,1
John Dellenback Dunes Trail,0.78596,1
John Muir National Historic Site,0.8435600000000001,1
John Muir Trail,0.85632,1
John's Lake Loop,0.79909,1
Johnsons Canyon,0.68574,0
Jones Hole Trail,0.88889,1
Jones Run Falls Trailhead,0.7098800000000001,0
Jordan Cliffs Trail,0.73631,0
Jordan Pond,0.8508699999999999,1
Joshua Tree National Park,0.8311299999999999,1
Judy's Crystals & Things,0.85092,1
Jug Handle Arch,0.24146666666666664,0
Julian Wash Greenway,0.45337500000000003,0
June Lake Loop,0.8505100000000001,1
Juney Whank Falls,0.70164,0
Juniper Lake,0.7649,1
Just Roughin' It Adventure Company,0.93811,1
Ka'Awaloa Trail,0.74662,0
Ka'u Coffee Mill,0.76388,1
Kabetogama Lake Overlook Trail,0.9403,1
Kalalau Trail,0.7437400000000001,0
Kalaloch Beach Trail 4,0.79859,1
Kalepa Ridge Trail,0.57772,0
Kapalua Coastal Trail,0.8914099999999999,1
Kaupo Gap Trail,-0.8207,0
Kayenta Trail,0.69528,0
Keauhou Trail,0.0,0
Kelly Drive,0.74441,0
Ken Patrick Trail,0.8785333333333334,1
Kendall-Jackson Wine Estate & Gardens,0.8128,1
Kentuck Knob,0.90883,1
Kephart Prong Trail,0.88799,1
Kettle Moraine State Forest Northern Unit,0.8346899999999999,1
Kilauea Iki Trail,0.74585,0
King Canyon Trail,0.70134,0
King Ranch Visitor Center,0.81268,1
Kings Canyon Scenic Byway,0.86852,1
Kings Creek Falls,0.5166999999999999,0
Kings River Bridge,0.0,0
Kintla Lake,0.42285000000000006,0
Kipuka Puaulu (Bird Park) Trail,0.69653,0
Klondike Bluffs Trail,0.65497,0
Kohm Yah-mah-nee Visitor Center,0.62155,0
Koko Crater Railway Trail,0.91419,1
Kolob Arch,0.8190111111111111,1
Kolob Canyons,0.7223200000000001,0
Kolob Terrace Road,0.59463,0
Koneko Cat Cafe,0.26311,0
Kootenai Creek Trail,0.6734600000000001,0
La Sal Mountain Loop,0.71868,0
