name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
Bison Gulch to Denali Visitors Center,Denali National Park,Denali National Park,Alaska,United States,15771.532,1385.9256,5,point to point,5.0,5,"['dogs-no', 'views']","['hiking', 'nature-trips']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bison-Gulch-to-Denali-Visitors-Center,Alaska,https://www.alltrails.com/trail/us/Alaska/Bison-Gulch-to-Denali-Visitors-Center,63.80495,-148.95416
Brooks Falls,Katmai National Park,King Salmon,Alaska,United States,4667.086,63.7032,1,out and back,4.5,4,"['forest', 'river', 'views', 'waterfall', 'wildlife']","['hiking', 'walking']",1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Brooks-Falls,Alaska,https://www.alltrails.com/trail/us/Alaska/Brooks-Falls,58.55986,-155.77752
Bartlett River Trail,Glacier Bay National Park,Gustavus,Alaska,United States,11104.446,266.7,1,out and back,3.0,7,"['dogs-no', 'forest', 'lake', 'river', 'views', 'wildlife']","['hiking', 'nature-trips', 'trail-running', 'walking']",1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Bartlett-River-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Bartlett-River-Trail,58.4543,-135.86902
McKinley Station and Morino Loop Trail,Denali National Park,Denali National Park,Alaska,United States,1448.406,33.8328,3,loop,3.0,4,"['dogs-no', 'views', 'wild-flowers']","['hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,McKinley-Station-and-Morino-Loop-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/McKinley-Station-and-Morino-Loop-Trail,63.7315,-148.91785
Dumpling Mountain,Katmai National Park,Kodiak,Alaska,United States,4828.02,225.8568,3,out and back,4.0,5,"['forest', 'views', 'wild-flowers', 'wildlife']","['hiking', 'nature-trips', 'trail-running']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Dumpling-Mountain,Alaska,https://www.alltrails.com/trail/us/Alaska/Dumpling-Mountain,58.55626,-155.77832
Spruce Tree Trail,Denali National Park,Denali National Park,Alaska,United States,643.736,23.7744,1,loop,3.0,6,"['kids', 'views', 'wildlife']","['hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Spruce-Tree-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Spruce-Tree-Trail,63.73136,-148.91762
Bartlet Lake Trail,Glacier Bay National Park,Gustavus,Alaska,United States,9495.106,141.732,1,out and back,3.5,4,"['dogs-no', 'forest', 'lake']","['hiking', 'mountain-biking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bartlet-Lake-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Bartlet-Lake-Trail,58.46205,-135.77323
Eldorado Creek Trail,Denali National Park,Denali National Park,Alaska,United States,13679.39,397.764,3,out and back,0.0,0,['dogs-leash'],"['backpacking', 'hiking']",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Eldorado-Creek-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Eldorado-Creek-Trail,63.52668,-150.96891
Tlingit Trail,Glacier Bay National Park,Gustavus,Alaska,United States,1770.274,19.812,1,out and back,3.5,4,"['ada', 'beach', 'forest', 'lake', 'views']","['hiking', 'nature-trips', 'walking']",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Tlingit-Trail,Alaska,https://www.alltrails.com/trail/us/Alaska/Tlingit-Trail,58.45442,-135.88565
Point Gustavus,Glacier Bay National Park,Gustavus,Alaska,United States,20116.75,117.9576,3,out and back,4.0,2,"['beach', 'dogs-no']","['hiking', 'nature-trips', 'walking']",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Point-Gustavus,Alaska,https://www.alltrails.com/trail/us/Alaska/Point-Gustavus,58.45379,-135.88686
Bright Angel Trail to Bright Angel Campground and River Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,28485.318,1525.8288,5,out and back,5.0,670,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bright-Angel-Trail-to-Bright-Angel-Campground-and-River-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Bright-Angel-Trail-to-Bright-Angel-Campground-and-River-Trail,36.05735,-112.14381
South Kaibab Trail to Cedar Ridge,Grand Canyon National Park,Grand Canyon,Arizona,United States,4988.954,358.7496,3,out and back,5.0,489,"['cave', 'dogs-no', 'forest', 'partially-paved', 'views', 'wild-flowers', 'wildlife']","['birding', 'camping', 'hiking', 'nature-trips', 'walking', 'horseback-riding']",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,South-Kaibab-Trail-to-Cedar-Ridge,Arizona,https://www.alltrails.com/trail/us/Arizona/South-Kaibab-Trail-to-Cedar-Ridge,36.05346,-112.08361
Three-Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,8690.436,635.8128,5,out and back,4.5,454,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Three-Mile-Resthouse-via-Bright-Angel-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Three-Mile-Resthouse-via-Bright-Angel-Trail,36.05701,-112.14414
"South Kaibab, Phantom Ranch, and Bright Angel Trail Loop ",Grand Canyon National Park,Grand Canyon,Arizona,United States,26875.978,1400.8608,5,point to point,5.0,519,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'camping', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,"South-Kaibab,-Phantom-Ranch,-and-Bright-Angel-Trail-Loop-",Arizona,"https://www.alltrails.com/trail/us/Arizona/South-Kaibab,-Phantom-Ranch,-and-Bright-Angel-Trail-Loop-",36.05344,-112.08364
South Kaibab Trail to Ooh Aah Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,2896.812,210.9216,3,out and back,5.0,455,"['dogs-no', 'views', 'wildlife']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,South-Kaibab-Trail-to-Ooh-Aah-Point,Arizona,https://www.alltrails.com/trail/us/Arizona/South-Kaibab-Trail-to-Ooh-Aah-Point,36.05309,-112.08387
Grand Canyon Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,8690.436,106.9848,1,out and back,4.5,342,"['ada', 'dogs-leash', 'kids', 'paved', 'strollers', 'views', 'wild-flowers']",['walking'],0,0,1,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Grand-Canyon-Rim-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Grand-Canyon-Rim-Trail,36.05723,-112.14378
Rim-to-Rim: North Kaibab to Grand Canyon Village,Grand Canyon National Park,North Rim,Arizona,United States,34761.744,1614.8304,5,point to point,5.0,217,"['dogs-no', 'river', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['backpacking', 'camping', 'hiking', 'trail-running']",1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,Rim-to-Rim:-North-Kaibab-to-Grand-Canyon-Village,Arizona,https://www.alltrails.com/trail/us/Arizona/Rim-to-Rim:-North-Kaibab-to-Grand-Canyon-Village,36.21692,-112.05678
Shoshone Point Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,3379.614,45.72,1,out and back,5.0,224,"['ada', 'dogs-no', 'kids', 'strollers', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Shoshone-Point-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Shoshone-Point-Trail,36.03496,-112.06924
Plateau Point Trail via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,19633.948,961.9488,5,out and back,5.0,262,"['dogs-no', 'river', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'hiking', 'nature-trips']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Plateau-Point-Trail-via-Bright-Angel-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Plateau-Point-Trail-via-Bright-Angel-Trail,36.05681,-112.14201
South Kaibab Trail to Skeleton Point,Grand Canyon National Park,Grand Canyon,Arizona,United States,8690.436,602.8944,5,out and back,5.0,229,"['dogs-no', 'views', 'wild-flowers']","['hiking', 'trail-running', 'horseback-riding']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,South-Kaibab-Trail-to-Skeleton-Point,Arizona,https://www.alltrails.com/trail/us/Arizona/South-Kaibab-Trail-to-Skeleton-Point,36.05356,-112.08336
Grand Canyon West Rim Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,20599.552,169.7736,1,point to point,4.5,158,"['ada', 'dogs-no', 'kids', 'paved', 'river', 'strollers', 'views', 'wild-flowers', 'wildlife']","['backpacking', 'birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",1,0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Grand-Canyon-West-Rim-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Grand-Canyon-West-Rim-Trail,36.05264,-112.08368
Bridal Wreath Falls Trail,Saguaro National Park,Tucson,Arizona,United States,9012.304,326.7456,3,out and back,4.5,259,"['dogs-no', 'kids', 'views', 'waterfall', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking']",0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,Bridal-Wreath-Falls-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Bridal-Wreath-Falls-Trail,32.23512,-110.68683
1.5 Mile Resthouse via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,4667.086,349.9104,3,out and back,4.5,238,"['dogs-no', 'views', 'wild-flowers', 'wildlife']",['hiking'],0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.5-Mile-Resthouse-via-Bright-Angel-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/1.5-Mile-Resthouse-via-Bright-Angel-Trail,36.05706,-112.14428
Bright Angel Point Trail,Grand Canyon National Park,North Rim,Arizona,United States,1448.406,43.8912,1,out and back,4.5,142,"['dogs-no', 'kids', 'partially-paved', 'views']","['hiking', 'nature-trips', 'walking']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Bright-Angel-Point-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Bright-Angel-Point-Trail,36.19703,-112.05258
Wasson Peak Trail,Saguaro National Park,Tucson,Arizona,United States,12713.786,567.8424,3,loop,4.5,229,"['cave', 'dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Wasson-Peak-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Wasson-Peak-Trail,32.24669,-111.16708
Indian Garden via Bright Angel Trail,Grand Canyon National Park,Grand Canyon,Arizona,United States,13196.588,896.7216,5,out and back,5.0,61,"['dogs-no', 'river', 'views']","['backpacking', 'camping', 'hiking']",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Indian-Garden-via-Bright-Angel-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Indian-Garden-via-Bright-Angel-Trail,36.05745,-112.14434
Blue Mesa Trail,Petrified Forest National Park,Holbrook,Arizona,United States,1448.406,32.9184,1,loop,4.5,163,"['dogs-leash', 'kids', 'partially-paved', 'views']","['hiking', 'walking']",0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Blue-Mesa-Trail,Arizona,https://www.alltrails.com/trail/us/Arizona/Blue-Mesa-Trail,34.93947,-109.75639
King Canyon Trail to Wasson Peak,Saguaro National Park,Tucson,Arizona,United States,11426.314,560.832,3,out and back,4.5,135,"['dogs-no', 'views', 'wild-flowers', 'wildlife']","['birding', 'hiking', 'nature-trips', 'trail-running', 'walking', 'horseback-riding']",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,King-Canyon-Trail-to-Wasson-Peak,Arizona,https://www.alltrails.com/trail/us/Arizona/King-Canyon-Trail-to-Wasson-Peak,32.24717,-111.16717
