,Trail Name,compound,RF_Sentiment,name_from_alltrails,name,area_name,city_name,state_name,country_name,length,elevation_gain,difficulty_rating,route_type,avg_rating,num_reviews,features,activities,river,beach,strollers,forest,city-walk,partially-paved,kids,rails-trails,dogs,waterfall,dogs-leash,ada,paved,hot-springs,views,dogs-no,cave,historic-site,wildlife,wild-flowers,lake,mountain-biking,surfing,off-road-driving,camping,walking,fishing,whitewater-kayaking,road-biking,horseback-riding,rails-trails.1,skiing,backpacking,scenic-driving,paddle-sports,sea-kayaking,canoeing,trail-running,bike-touring,birding,rock-climbing,cross-country-skiing,snowshoeing,ice-climbing,snowboarding,hiking,fly-fishing,nature-trips,update_name,update_state,trail_url,Lat,Lng
10,Diablo Lake Overlook,0.61369,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
11,Douglas Dam,0.72893,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
12,Eagle and High Peak Mine,0.7636000000000001,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
13,Giant Ledge and Panther Mountain,0.6554800000000001,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
14,Hannegan Pass-Ross Lake,0.94935,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
15,Heart of Acadia Loop,0.69226,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
16,Hieroglyphic Mountains OHV Loop,0.4753,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
17,Howard Prairie Lake,0.7605000000000001,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
18,La Sal Mountain Loop,0.71868,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
19,Lake Butte Overlook,0.65962,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
20,Lake Ella & Fred Drake Park,0.6532199999999999,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
21,Lake Francis State Park,0.79887,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
22,Lake Hope State Park,0.62453,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
23,Lake Marble Falls,0.54174,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
24,Lake Shore East Park,0.8893800000000001,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
25,Laurel River Lake,0.7731899999999999,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
26,McKenzie Pass-Santiam Pass loop,0.46135,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
27,Mobius Arch Loop Trailhead,0.69942,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
28,Mosquito Lake State Park,0.61059,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
29,Navajo/Queens Garden Loop,0.8460000000000001,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
30,Nisqually Vista Loop,0.93004,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
31,Parker Canyon Lake,0.4975799999999999,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
32,Peak to Peak Scenic Byway,0.79746,1,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
33,Pinto Lake County Park,0.7008571428571428,0,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Tiaga Loop and Horseshoe Lake Trail to Beaver Dam,Denali National Park,Denali National Park,Alaska,United States,4828.02,158.8008,3,loop,4.5,15,"['dogs-no', 'forest', 'lake', 'views']","['birding', 'hiking', 'nature-trips', 'walking']",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,Alaska,https://www.alltrails.com/trail/us/Alaska/Tiaga-Loop-and-Horseshoe-Lake-Trail-to-Beaver-Dam,63.73128,-148.9171
